custom_id,model,context_variant,total_tests_generated,tests_passed_v2,tests_failed_v2,bc_detected,bump_bc_failure_category,bump_bc_errors,bump_bc_errors_raw
BBC04,GPT-4o,Minimal,4,4,0,False,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException
BBC33,GPT-4o,Minimal,30,30,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC45,GPT-4o,Minimal,3,3,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC54,GPT-4o,Minimal,30,30,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,GPT-4o,Minimal,29,29,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC63,GPT-4o,Minimal,9,9,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC66,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC88,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC98,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC101,GPT-4o,Minimal,36,36,0,False,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC103,GPT-4o,Minimal,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC106,GPT-4o,Minimal,2,2,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException
BBC123,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,NoSuchMethodError,java.lang.NoSuchMethodError|MojoFailureException
BBC131,GPT-4o,Minimal,6,6,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC135,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC136,GPT-4o,Minimal,6,6,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC147,GPT-4o,Minimal,30,30,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
