custom_id,model,context_variant,total_tests_generated,tests_passed_v2,tests_failed_v2,bc_detected,bump_bc_failure_category,bump_bc_errors,bump_bc_errors_raw
BBC02,GPT-4o,Minimal,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException
BBC06,GPT-4o,Minimal,11,0,11,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC07,GPT-4o,Minimal,3,0,3,True,TEST_FAILURE,,MojoFailureException
BBC17,GPT-4o,Minimal,10,0,10,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC27,GPT-4o,Minimal,21,18,3,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC36,GPT-4o,Minimal,12,0,12,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC42,GPT-4o,Minimal,1,0,1,True,TEST_FAILURE,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException
BBC49,GPT-4o,Minimal,9,0,9,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC50,GPT-4o,Minimal,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException
BBC72,GPT-4o,Minimal,45,0,45,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,GPT-4o,Minimal,47,0,47,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC132,GPT-4o,Minimal,11,0,11,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC137,GPT-4o,Minimal,1,0,1,True,TEST_FAILURE,IOException|JSchException|NoSuchMethodError|RuntimeSshException,RuntimeSshException|java.io.IOException|java.lang.NoSuchMethodError|com.jcraft.jsch.JSchException|MojoFailureException
BBC145,GPT-4o,Minimal,1,0,1,True,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException
BBC146,GPT-4o,Minimal,23,21,2,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC150,GPT-4o,Minimal,5,0,5,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC165,GPT-4o,Minimal,11,0,11,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC06,GPT-4o,Method,24,0,24,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC17,GPT-4o,Method,24,0,24,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC27,GPT-4o,Method,83,80,3,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC33,GPT-4o,Method,20,17,3,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC49,GPT-4o,Method,25,1,24,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
