model,context_variant,bump_id,file_name,output_token,input_token
GPT4o,minimal,BBC01,BBC01U2Test_prompt.txt,142,858
GPT4o,minimal,BBC02,BBC02U0Test_prompt.txt,388,1195
GPT4o,minimal,BBC02,BBC02U1Test_prompt.txt,397,834
GPT4o,minimal,BBC03,BBC03U0Test_prompt.txt,254,1195
GPT4o,minimal,BBC03,BBC03U1Test_prompt.txt,206,834
GPT4o,minimal,BBC04,BBC04U0Test_prompt.txt,235,828
GPT4o,minimal,BBC04,BBC04U10Test_prompt.txt,198,831
GPT4o,minimal,BBC04,BBC04U11Test_prompt.txt,242,837
GPT4o,minimal,BBC04,BBC04U12Test_prompt.txt,365,847
GPT4o,minimal,BBC04,BBC04U13Test_prompt.txt,310,859
GPT4o,minimal,BBC04,BBC04U14Test_prompt.txt,233,870
GPT4o,minimal,BBC04,BBC04U15Test_prompt.txt,258,881
GPT4o,minimal,BBC04,BBC04U16Test_prompt.txt,252,847
GPT4o,minimal,BBC04,BBC04U17Test_prompt.txt,316,854
GPT4o,minimal,BBC04,BBC04U18Test_prompt.txt,324,857
GPT4o,minimal,BBC04,BBC04U19Test_prompt.txt,520,869
GPT4o,minimal,BBC04,BBC04U1Test_prompt.txt,208,831
GPT4o,minimal,BBC04,BBC04U20Test_prompt.txt,420,880
GPT4o,minimal,BBC04,BBC04U21Test_prompt.txt,359,891
GPT4o,minimal,BBC04,BBC04U22Test_prompt.txt,249,857
GPT4o,minimal,BBC04,BBC04U23Test_prompt.txt,245,864
GPT4o,minimal,BBC04,BBC04U24Test_prompt.txt,204,857
GPT4o,minimal,BBC04,BBC04U25Test_prompt.txt,221,852
GPT4o,minimal,BBC04,BBC04U26Test_prompt.txt,214,842
GPT4o,minimal,BBC04,BBC04U27Test_prompt.txt,586,830
GPT4o,minimal,BBC04,BBC04U28Test_prompt.txt,414,840
GPT4o,minimal,BBC04,BBC04U29Test_prompt.txt,202,854
GPT4o,minimal,BBC04,BBC04U2Test_prompt.txt,180,834
GPT4o,minimal,BBC04,BBC04U30Test_prompt.txt,108,843
GPT4o,minimal,BBC04,BBC04U31Test_prompt.txt,627,842
GPT4o,minimal,BBC04,BBC04U32Test_prompt.txt,503,836
GPT4o,minimal,BBC04,BBC04U33Test_prompt.txt,143,836
GPT4o,minimal,BBC04,BBC04U34Test_prompt.txt,120,836
GPT4o,minimal,BBC04,BBC04U35Test_prompt.txt,217,836
GPT4o,minimal,BBC04,BBC04U36Test_prompt.txt,484,834
GPT4o,minimal,BBC04,BBC04U37Test_prompt.txt,204,834
GPT4o,minimal,BBC04,BBC04U38Test_prompt.txt,117,830
GPT4o,minimal,BBC04,BBC04U39Test_prompt.txt,135,830
GPT4o,minimal,BBC04,BBC04U3Test_prompt.txt,105,834
GPT4o,minimal,BBC04,BBC04U40Test_prompt.txt,146,840
GPT4o,minimal,BBC04,BBC04U41Test_prompt.txt,170,836
GPT4o,minimal,BBC04,BBC04U42Test_prompt.txt,129,830
GPT4o,minimal,BBC04,BBC04U43Test_prompt.txt,134,830
GPT4o,minimal,BBC04,BBC04U44Test_prompt.txt,116,830
GPT4o,minimal,BBC04,BBC04U45Test_prompt.txt,121,830
GPT4o,minimal,BBC04,BBC04U46Test_prompt.txt,317,838
GPT4o,minimal,BBC04,BBC04U47Test_prompt.txt,209,831
GPT4o,minimal,BBC04,BBC04U48Test_prompt.txt,195,865
GPT4o,minimal,BBC04,BBC04U49Test_prompt.txt,217,910
GPT4o,minimal,BBC04,BBC04U4Test_prompt.txt,149,834
GPT4o,minimal,BBC04,BBC04U50Test_prompt.txt,190,862
GPT4o,minimal,BBC04,BBC04U5Test_prompt.txt,318,827
GPT4o,minimal,BBC04,BBC04U6Test_prompt.txt,130,834
GPT4o,minimal,BBC04,BBC04U7Test_prompt.txt,242,834
GPT4o,minimal,BBC04,BBC04U8Test_prompt.txt,112,851
GPT4o,minimal,BBC04,BBC04U9Test_prompt.txt,135,831
GPT4o,minimal,BBC05,BBC05U0Test_prompt.txt,248,893
GPT4o,minimal,BBC05,BBC05U1Test_prompt.txt,172,856
GPT4o,minimal,BBC05,BBC05U2Test_prompt.txt,170,857
GPT4o,minimal,BBC05,BBC05U3Test_prompt.txt,202,824
GPT4o,minimal,BBC06,BBC06U10Test_prompt.txt,177,872
GPT4o,minimal,BBC06,BBC06U112Test_prompt.txt,211,870
GPT4o,minimal,BBC06,BBC06U113Test_prompt.txt,251,947
GPT4o,minimal,BBC06,BBC06U114Test_prompt.txt,197,849
GPT4o,minimal,BBC06,BBC06U115Test_prompt.txt,228,841
GPT4o,minimal,BBC06,BBC06U116Test_prompt.txt,192,895
GPT4o,minimal,BBC06,BBC06U117Test_prompt.txt,227,955
GPT4o,minimal,BBC06,BBC06U118Test_prompt.txt,194,936
GPT4o,minimal,BBC06,BBC06U119Test_prompt.txt,250,856
GPT4o,minimal,BBC06,BBC06U11Test_prompt.txt,202,874
GPT4o,minimal,BBC06,BBC06U120Test_prompt.txt,444,859
GPT4o,minimal,BBC06,BBC06U121Test_prompt.txt,203,864
GPT4o,minimal,BBC06,BBC06U122Test_prompt.txt,133,838
GPT4o,minimal,BBC06,BBC06U123Test_prompt.txt,187,861
GPT4o,minimal,BBC06,BBC06U124Test_prompt.txt,133,850
GPT4o,minimal,BBC06,BBC06U125Test_prompt.txt,180,890
GPT4o,minimal,BBC06,BBC06U126Test_prompt.txt,170,865
GPT4o,minimal,BBC06,BBC06U127Test_prompt.txt,215,881
GPT4o,minimal,BBC06,BBC06U128Test_prompt.txt,196,1165
GPT4o,minimal,BBC06,BBC06U129Test_prompt.txt,244,853
GPT4o,minimal,BBC06,BBC06U12Test_prompt.txt,191,870
GPT4o,minimal,BBC06,BBC06U130Test_prompt.txt,204,834
GPT4o,minimal,BBC06,BBC06U131Test_prompt.txt,204,840
GPT4o,minimal,BBC06,BBC06U132Test_prompt.txt,212,834
GPT4o,minimal,BBC06,BBC06U133Test_prompt.txt,202,931
GPT4o,minimal,BBC06,BBC06U134Test_prompt.txt,185,842
GPT4o,minimal,BBC06,BBC06U135Test_prompt.txt,175,838
GPT4o,minimal,BBC06,BBC06U136Test_prompt.txt,170,838
GPT4o,minimal,BBC06,BBC06U137Test_prompt.txt,134,860
GPT4o,minimal,BBC06,BBC06U138Test_prompt.txt,167,854
GPT4o,minimal,BBC06,BBC06U139Test_prompt.txt,168,844
GPT4o,minimal,BBC06,BBC06U13Test_prompt.txt,177,868
GPT4o,minimal,BBC06,BBC06U140Test_prompt.txt,171,840
GPT4o,minimal,BBC06,BBC06U141Test_prompt.txt,162,886
GPT4o,minimal,BBC06,BBC06U142Test_prompt.txt,134,838
GPT4o,minimal,BBC06,BBC06U143Test_prompt.txt,258,922
GPT4o,minimal,BBC06,BBC06U144Test_prompt.txt,169,844
GPT4o,minimal,BBC06,BBC06U145Test_prompt.txt,170,862
GPT4o,minimal,BBC06,BBC06U146Test_prompt.txt,284,924
GPT4o,minimal,BBC06,BBC06U147Test_prompt.txt,158,852
GPT4o,minimal,BBC06,BBC06U148Test_prompt.txt,168,917
GPT4o,minimal,BBC06,BBC06U149Test_prompt.txt,168,917
GPT4o,minimal,BBC06,BBC06U14Test_prompt.txt,188,868
GPT4o,minimal,BBC06,BBC06U150Test_prompt.txt,169,856
GPT4o,minimal,BBC06,BBC06U151Test_prompt.txt,170,862
GPT4o,minimal,BBC06,BBC06U152Test_prompt.txt,151,844
GPT4o,minimal,BBC06,BBC06U153Test_prompt.txt,169,844
GPT4o,minimal,BBC06,BBC06U154Test_prompt.txt,169,875
GPT4o,minimal,BBC06,BBC06U155Test_prompt.txt,416,923
GPT4o,minimal,BBC06,BBC06U156Test_prompt.txt,172,856
GPT4o,minimal,BBC06,BBC06U157Test_prompt.txt,169,875
GPT4o,minimal,BBC06,BBC06U158Test_prompt.txt,169,844
GPT4o,minimal,BBC06,BBC06U159Test_prompt.txt,206,866
GPT4o,minimal,BBC06,BBC06U15Test_prompt.txt,192,870
GPT4o,minimal,BBC06,BBC06U160Test_prompt.txt,233,900
GPT4o,minimal,BBC06,BBC06U161Test_prompt.txt,234,957
GPT4o,minimal,BBC06,BBC06U162Test_prompt.txt,186,878
GPT4o,minimal,BBC06,BBC06U163Test_prompt.txt,208,900
GPT4o,minimal,BBC06,BBC06U164Test_prompt.txt,185,866
GPT4o,minimal,BBC06,BBC06U165Test_prompt.txt,226,980
GPT4o,minimal,BBC06,BBC06U166Test_prompt.txt,192,854
GPT4o,minimal,BBC06,BBC06U167Test_prompt.txt,228,857
GPT4o,minimal,BBC06,BBC06U168Test_prompt.txt,403,996
GPT4o,minimal,BBC06,BBC06U169Test_prompt.txt,170,855
GPT4o,minimal,BBC06,BBC06U16Test_prompt.txt,162,874
GPT4o,minimal,BBC06,BBC06U170Test_prompt.txt,203,898
GPT4o,minimal,BBC06,BBC06U171Test_prompt.txt,167,854
GPT4o,minimal,BBC06,BBC06U172Test_prompt.txt,190,973
GPT4o,minimal,BBC06,BBC06U173Test_prompt.txt,167,973
GPT4o,minimal,BBC06,BBC06U174Test_prompt.txt,175,858
GPT4o,minimal,BBC06,BBC06U175Test_prompt.txt,408,992
GPT4o,minimal,BBC06,BBC06U176Test_prompt.txt,219,855
GPT4o,minimal,BBC06,BBC06U177Test_prompt.txt,172,846
GPT4o,minimal,BBC06,BBC06U178Test_prompt.txt,180,846
GPT4o,minimal,BBC06,BBC06U179Test_prompt.txt,233,975
GPT4o,minimal,BBC06,BBC06U17Test_prompt.txt,216,868
GPT4o,minimal,BBC06,BBC06U180Test_prompt.txt,218,855
GPT4o,minimal,BBC06,BBC06U181Test_prompt.txt,264,896
GPT4o,minimal,BBC06,BBC06U182Test_prompt.txt,168,858
GPT4o,minimal,BBC06,BBC06U183Test_prompt.txt,174,854
GPT4o,minimal,BBC06,BBC06U184Test_prompt.txt,191,973
GPT4o,minimal,BBC06,BBC06U185Test_prompt.txt,231,973
GPT4o,minimal,BBC06,BBC06U186Test_prompt.txt,135,858
GPT4o,minimal,BBC06,BBC06U187Test_prompt.txt,245,971
GPT4o,minimal,BBC06,BBC06U188Test_prompt.txt,248,855
GPT4o,minimal,BBC06,BBC06U189Test_prompt.txt,174,854
GPT4o,minimal,BBC06,BBC06U190Test_prompt.txt,168,846
GPT4o,minimal,BBC06,BBC06U191Test_prompt.txt,168,846
GPT4o,minimal,BBC06,BBC06U192Test_prompt.txt,173,962
GPT4o,minimal,BBC06,BBC06U193Test_prompt.txt,203,855
GPT4o,minimal,BBC06,BBC06U194Test_prompt.txt,234,896
GPT4o,minimal,BBC06,BBC06U195Test_prompt.txt,151,854
GPT4o,minimal,BBC06,BBC06U196Test_prompt.txt,253,973
GPT4o,minimal,BBC06,BBC06U197Test_prompt.txt,225,973
GPT4o,minimal,BBC06,BBC06U198Test_prompt.txt,155,858
GPT4o,minimal,BBC06,BBC06U199Test_prompt.txt,206,931
GPT4o,minimal,BBC06,BBC06U200Test_prompt.txt,218,855
GPT4o,minimal,BBC06,BBC06U201Test_prompt.txt,158,846
GPT4o,minimal,BBC06,BBC06U202Test_prompt.txt,177,846
GPT4o,minimal,BBC06,BBC06U203Test_prompt.txt,177,838
GPT4o,minimal,BBC06,BBC06U204Test_prompt.txt,190,865
GPT4o,minimal,BBC06,BBC06U205Test_prompt.txt,325,918
GPT4o,minimal,BBC06,BBC06U206Test_prompt.txt,208,850
GPT4o,minimal,BBC06,BBC06U207Test_prompt.txt,149,846
GPT4o,minimal,BBC06,BBC06U208Test_prompt.txt,166,850
GPT4o,minimal,BBC06,BBC06U209Test_prompt.txt,166,865
GPT4o,minimal,BBC06,BBC06U210Test_prompt.txt,202,838
GPT4o,minimal,BBC06,BBC06U211Test_prompt.txt,192,940
GPT4o,minimal,BBC06,BBC06U212Test_prompt.txt,321,985
GPT4o,minimal,BBC06,BBC06U213Test_prompt.txt,350,1005
GPT4o,minimal,BBC06,BBC06U214Test_prompt.txt,197,985
GPT4o,minimal,BBC06,BBC06U215Test_prompt.txt,470,993
GPT4o,minimal,BBC06,BBC06U216Test_prompt.txt,228,985
GPT4o,minimal,BBC06,BBC06U217Test_prompt.txt,167,838
GPT4o,minimal,BBC06,BBC06U218Test_prompt.txt,167,868
GPT4o,minimal,BBC06,BBC06U219Test_prompt.txt,210,888
GPT4o,minimal,BBC06,BBC06U220Test_prompt.txt,142,850
GPT4o,minimal,BBC06,BBC06U221Test_prompt.txt,148,880
GPT4o,minimal,BBC06,BBC06U222Test_prompt.txt,134,838
GPT4o,minimal,BBC06,BBC06U223Test_prompt.txt,178,864
GPT4o,minimal,BBC06,BBC06U224Test_prompt.txt,196,890
GPT4o,minimal,BBC06,BBC06U225Test_prompt.txt,171,1267
GPT4o,minimal,BBC06,BBC06U226Test_prompt.txt,194,868
GPT4o,minimal,BBC06,BBC06U227Test_prompt.txt,179,889
GPT4o,minimal,BBC06,BBC06U228Test_prompt.txt,193,1120
GPT4o,minimal,BBC06,BBC06U229Test_prompt.txt,200,943
GPT4o,minimal,BBC06,BBC06U230Test_prompt.txt,180,889
GPT4o,minimal,BBC06,BBC06U231Test_prompt.txt,173,846
GPT4o,minimal,BBC06,BBC06U232Test_prompt.txt,173,878
GPT4o,minimal,BBC06,BBC06U233Test_prompt.txt,185,852
GPT4o,minimal,BBC06,BBC06U234Test_prompt.txt,1021,1831
GPT4o,minimal,BBC06,BBC06U235Test_prompt.txt,223,861
GPT4o,minimal,BBC06,BBC06U236Test_prompt.txt,199,873
GPT4o,minimal,BBC06,BBC06U237Test_prompt.txt,561,1184
GPT4o,minimal,BBC06,BBC06U238Test_prompt.txt,173,1104
GPT4o,minimal,BBC06,BBC06U239Test_prompt.txt,183,854
GPT4o,minimal,BBC06,BBC06U240Test_prompt.txt,173,858
GPT4o,minimal,BBC06,BBC06U241Test_prompt.txt,187,878
GPT4o,minimal,BBC06,BBC06U242Test_prompt.txt,173,846
GPT4o,minimal,BBC06,BBC06U243Test_prompt.txt,202,985
GPT4o,minimal,BBC06,BBC06U244Test_prompt.txt,219,903
GPT4o,minimal,BBC06,BBC06U245Test_prompt.txt,190,878
GPT4o,minimal,BBC06,BBC06U246Test_prompt.txt,182,943
GPT4o,minimal,BBC06,BBC06U247Test_prompt.txt,150,846
GPT4o,minimal,BBC06,BBC06U248Test_prompt.txt,168,849
