model,context_variant,custom_id,bump_bc_failure_category,bump_bc_errors_raw,bump_bc_errors,llm_detected_errors,matched_errors,missed_errors,new_errors,bump_total,llm_total,matched_count,missed_count,new_count,match_rate_%,num_failed_tests
GPT-4o,Class,BBC03,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,RuntimeException,,3,2,2,1,0,66.7,1
GPT-4o,Class,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,16
GPT-4o,Class,BBC07,TEST_FAILURE,MojoFailureException,,,,,,0,0,0,0,0,0,2
GPT-4o,Class,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,14
GPT-4o,Class,BBC27,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,6
GPT-4o,Class,BBC33,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,1
GPT-4o,Class,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,10
GPT-4o,Class,BBC42,TEST_FAILURE,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,Exception|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,,7,2,2,5,0,28.6,1
GPT-4o,Class,BBC45,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
GPT-4o,Class,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,18
