context_variant,model,instance,test_file,test_case,num_assert_calls,oracle_methods_used,has_trycatch_assert,assert_calls,note,execution_result,llm_detected_errors,bump_bc_errors,matched_errors,missed_errors,new_errors,match_count,miss_count,new_count,error_type
Class,GPT4o,BBC03,BBC03U0Test.java,test_jsonSchemaFromTypeMirror,0,,False,,no explicit assertion in this test method,FAILURE,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,MojoFailureException|RuntimeException,,2,2,0,behavioral
Class,GPT4o,BBC06,BBC06U112Test.java,test_calculateMD5_emptyInput,1,assertEquals,False,"assertEquals(expectedMD5, actualMD5) [L28]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U112Test.java,test_calculateMD5_largeInput,2,assertEquals|assertNotNull,False,"assertNotNull(actualMD5) [L48] ;; assertEquals(32, actualMD5.length()) [L49]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U112Test.java,test_calculateMD5_nominal,1,assertEquals,False,"assertEquals(expectedMD5, actualMD5) [L18]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U112Test.java,test_calculateMD5_nullInput,1,fail,True,"fail(msg=""Expected NullPointerException"") [L37]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U113Test.java,test_sendChannelMessage_boundary,2,assertTrue|fail,True,"assertTrue(true) [L49] ;; fail(msg=""Exception should not be thrown in boundary case: "" + e.getMessage()) [L52]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U113Test.java,test_sendChannelMessage_error,2,assertTrue|fail,True,"assertTrue(true) [L71] ;; fail(msg=""Exception should not be thrown in error case: "" + e.getMessage()) [L74]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U113Test.java,test_sendChannelMessage_nominal,2,assertTrue|fail,True,"assertTrue(true) [L27] ;; fail(msg=""Exception should not be thrown in nominal case: "" + e.getMessage()) [L30]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U115Test.java,test_getWidth_boundary,1,assertEquals,False,"assertEquals(1, width) [L37]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U115Test.java,test_getWidth_error,2,assertEquals|fail,True,"fail(msg=""Expected an exception to be thrown"") [L48] ;; assertEquals(""java.lang.NullPointerException"", e.getClass().getName()) [L51]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U115Test.java,test_getWidth_nominal,1,assertEquals,False,"assertEquals(800, width) [L24]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U140Test.java,test_handleRequest,1,assertEquals,False,"assertEquals(""content/contributor/edit-motivation"", viewName) [L42]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U153Test.java,test_handleRequest,3,assertEquals|assertNotNull,False,"assertEquals(""content/letter/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""letter"")) [L29] ;; assertNotNull(model.asMap().get(""timeStart"")) [L30]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U276Test.java,test_handleAuthorization,3,assertNotNull|assertTrue|fail,True,"assertNotNull(result | msg=""The result should not be null"") [L39] ;; assertTrue(result.startsWith(""redirect:"") | msg=""The result should start with 'redirect:'"") [L40] ;; fail(msg=""IOException was not expected: "" + e.getMessage()) [L51]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U286Test.java,test_handleRequest,1,assertEquals,False,"assertEquals(""welcome"", result) [L19]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U43Test.java,test_refreshStoryBooksJSONArray,0,,False,,no explicit assertion in this test method,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U61Test.java,test_getLettersFromCsvBackup_emptyFile,1,assertTrue,False,assertTrue(letters.isEmpty()) [L55],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U61Test.java,test_getLettersFromCsvBackup_invalidFormat,4,assertEquals,False,"assertEquals(1, letters.size()) [L71] ;; assertEquals(""a"", letter.getText()) [L74] ;; assertEquals(false, letter.isDiacritic()) [L75] ;; assertEquals(0, letter.getUsageCount().intValue()) [L76]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U61Test.java,test_getLettersFromCsvBackup_nominal,7,assertEquals,False,"assertEquals(2, letters.size()) [L33] ;; assertEquals(""a"", letter1.getText()) [L36] ;; assertEquals(false, letter1.isDiacritic()) [L37] ;; assertEquals(10, letter1.getUsageCount().intValue()) [L38] ;; assertEquals(""á"", letter2.getText()) [L41] ;; assertEquals(true, letter2.isDiacritic()) [L42] ;; assertEquals(5, letter2.getUsageCount().intValue()) [L43]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_blankValue,1,assertNull,False,assertNull(result) [L46],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_invalidValue,1,assertNull,False,assertNull(result) [L34],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_nullValue,1,assertNull,False,assertNull(result) [L58],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
